Accuracy,BPM,Difficulty,Length,Title
4.0,60.0,1.5441782474499999,48,timmy.
9.0,83.0,5.535045623778571,88,Zoetrope
8.0,155.0,5.042992591857143,217,"Shounen yo, Tokkou no Sakigake to Nare"
8.0,145.0,4.6979107856785705,84,Hello Alone (TV size)
8.5,170.0,5.272376537321429,244,Kotoba no Iranai Yakusoku
7.0,135.0,3.750224351885714,87,Deep in Abyss
8.0,97.0,5.253053188321428,126,Apeiria
6.5,102.0,2.3952827453642853,61,Jingle Bells
7.0,90.0,4.191593647,85,Freesia
7.8999999999999995,174.0,4.3611211776714285,89,Whatever I Do (feat. Kostja)
8.0,126.0,3.96526789665,66,Kimi ni Todoke
9.0,200.0,7.13130950927857,360,"Feelin Sky (Camellia's ""200step"" Self-remix)"
8.2,107.0,4.766527652742856,299,Rebuilt world
9.0,136.0,4.813606262207142,42,Cookie-Butter-Choco-Cookie
8.0,102.0,4.936536312099999,422,Mukau no Sato ~ Grief of Ressentiment
7.0,150.0,3.4355745315571427,161,Heavy (feat. Kiiara)
5.5,83.0,2.2835016250642854,115,Chloe-II -Perplexity-
8.5,175.0,5.176388740542857,88,Take It In (feat. Koven)
8.0,150.0,4.621179103849999,81,TAKE ME AWAY
7.699999999999999,103.0,4.316727161407143,430,EXEC_with.METHOD_METAFALICA/.
8.0,160.0,4.663839340207143,235,Philosophyz -NanosizeMir Ver.-
8.0,72.5,4.518679618835714,299,Toki Hatsuru Yume
8.0,115.0,4.689584255221428,208,Pop It
9.0,122.0,6.521004199978571,185,VERY NICE
9.0,185.0,5.854844093321428,94,TSLove
8.5,188.0,5.7062554359428574,272,Absolute Soul
7.6,144.0,4.060857295992857,250,Ikuseisou no Monogatari ~The Story of Eternity~
7.0,130.0,3.579077005385714,88,Precious You*
9.299999999999999,139.998,5.829745769499999,115,The Navigator's Hope
8.0,169.0,4.8725399971,93,Kibou no Sora
8.0,165.0,4.723269939421429,86,Hitorigoto -TV MIX-
8.899999999999999,174.0,6.219684123992857,308,dreamless wanderer
8.0,142.0,4.828846931457143,251,Harumachi Clover -blooming mix-
8.799999999999999,175.0,4.989899635314285,187,The Last Garrison
6.0,110.0,2.550440788271428,156,love (Feat. Syd)
9.0,191.0,6.092161178585714,63,Unknown Title
7.0,90.0,3.9640517234785713,60,B:/ Infinite Login
8.0,174.0,4.7749934196499995,240,Haru Modoki
9.0,172.0,6.2207293510428565,302,Junpaku*study time
8.5,99.0,5.001054763792857,291,messages from nowhere
7.5,142.0,3.99944114685,87,Kanashii Ureshii
